web_scraper_order,web_scraper_start_url,category-link-0,pagination-selector,Phish URL,Online?,phone,Submitted,Phish URL2,Submitted2,Valid?
"1764655509-12","https://www.phishtank.com/phish_archive.php","https://www.phishtank.com/phish_archive.php?page=1","","added on Dec 2nd 2025 4:54 AM","VALID PHISH","9281264","dms","https://ziphk.kinavo.cfd/yzvwe
added on Dec 2nd 2025 4:54 AM","by dms","VALID PHISH"
"1764655509-13","https://www.phishtank.com/phish_archive.php","https://www.phishtank.com/phish_archive.php?page=1","","added on Dec 2nd 2025 4:54 AM","VALID PHISH","9281263","dms","https://lvlnc.kinavo.cfd/1snxe
added on Dec 2nd 2025 4:54 AM","by dms","VALID PHISH"
"1764655509-14","https://www.phishtank.com/phish_archive.php","https://www.phishtank.com/phish_archive.php?page=1","","added on Dec 2nd 2025 4:54 AM","VALID PHISH","9281262","dms","https://yknhf.kinavo.cfd/z6csu
added on Dec 2nd 2025 4:54 AM","by dms","VALID PHISH"
"1764655509-15","https://www.phishtank.com/phish_archive.php","https://www.phishtank.com/phish_archive.php?page=1","","added on Dec 2nd 2025 4:54 AM","VALID PHISH","9281261","dms","https://tpciv.kinavo.cfd/3bds8
added on Dec 2nd 2025 4:54 AM","by dms","VALID PHISH"
"1764655509-16","https://www.phishtank.com/phish_archive.php","https://www.phishtank.com/phish_archive.php?page=1","","added on Dec 2nd 2025 4:54 AM","VALID PHISH","9281260","dms","https://fhrri.kinavo.cfd/85nyv
added on Dec 2nd 2025 4:54 AM","by dms","VALID PHISH"
"1764655509-17","https://www.phishtank.com/phish_archive.php","https://www.phishtank.com/phish_archive.php?page=1","","added on Dec 2nd 2025 4:54 AM","VALID PHISH","9281259","dms","https://onokc.kinavo.cfd/rh1v3
added on Dec 2nd 2025 4:54 AM","by dms","VALID PHISH"
"1764655509-18","https://www.phishtank.com/phish_archive.php","https://www.phishtank.com/phish_archive.php?page=1","","added on Dec 2nd 2025 4:54 AM","VALID PHISH","9281258","dms","https://tomiran.cfd/indexco.jp
added on Dec 2nd 2025 4:54 AM","by dms","VALID PHISH"
"1764655509-19","https://www.phishtank.com/phish_archive.php","https://www.phishtank.com/phish_archive.php?page=1","","added on Dec 2nd 2025 4:54 AM","VALID PHISH","9281257","dms","https://rilano.cfd/indexco.jp
added on Dec 2nd 2025 4:54 AM","by dms","VALID PHISH"
"1764655509-20","https://www.phishtank.com/phish_archive.php","https://www.phishtank.com/phish_archive.php?page=1","","added on Dec 2nd 2025 4:54 AM","VALID PHISH","9281256","dms","https://txxqg.kinavo.cfd/cf9ma
added on Dec 2nd 2025 4:54 AM","by dms","VALID PHISH"
"1764655509-21","https://www.phishtank.com/phish_archive.php","https://www.phishtank.com/phish_archive.php?page=1","","added on Dec 2nd 2025 4:54 AM","VALID PHISH","9281255","dms","https://uuvlf.kinavo.cfd/jgeo9
added on Dec 2nd 2025 4:54 AM","by dms","VALID PHISH"
"1764655509-22","https://www.phishtank.com/phish_archive.php","https://www.phishtank.com/phish_archive.php?page=1","","","","< Newer","","","",""
"1764655512-23","https://www.phishtank.com/phish_archive.php","https://www.phishtank.com/phish_archive.php?page=1","https://www.phishtank.com/phish_archive.php?page=2","","","","","","",""
"1764655512-24","https://www.phishtank.com/phish_archive.php","https://www.phishtank.com/phish_archive.php?page=1","https://www.phishtank.com/phish_archive.php?page=2","added on Dec 2nd 2025 4:53 AM","VALID PHISH","9281254","dms","https://gtkci.kinavo.cfd/z3x30
added on Dec 2nd 2025 4:53 AM","by dms","VALID PHISH"
"1764655512-25","https://www.phishtank.com/phish_archive.php","https://www.phishtank.com/phish_archive.php?page=1","https://www.phishtank.com/phish_archive.php?page=2","added on Dec 2nd 2025 4:53 AM","VALID PHISH","9281253","dms","https://azzrr.kinavo.cfd/4tbi0
added on Dec 2nd 2025 4:53 AM","by dms","VALID PHISH"
"1764655512-26","https://www.phishtank.com/phish_archive.php","https://www.phishtank.com/phish_archive.php?page=1","https://www.phishtank.com/phish_archive.php?page=2","added on Dec 2nd 2025 4:53 AM","VALID PHISH","9281252","dms","https://medva.kinavo.cfd/l5ni5
added on Dec 2nd 2025 4:53 AM","by dms","VALID PHISH"
"1764655512-27","https://www.phishtank.com/phish_archive.php","https://www.phishtank.com/phish_archive.php?page=1","https://www.phishtank.com/phish_archive.php?page=2","added on Dec 2nd 2025 4:53 AM","VALID PHISH","9281251","dms","https://uptsf.kinavo.cfd/0ckfb
added on Dec 2nd 2025 4:53 AM","by dms","VALID PHISH"
"1764655512-28","https://www.phishtank.com/phish_archive.php","https://www.phishtank.com/phish_archive.php?page=1","https://www.phishtank.com/phish_archive.php?page=2","added on Dec 2nd 2025 4:53 AM","VALID PHISH","9281250","dms","https://pradg.kinavo.cfd/678n8
added on Dec 2nd 2025 4:53 AM","by dms","VALID PHISH"
"1764655512-29","https://www.phishtank.com/phish_archive.php","https://www.phishtank.com/phish_archive.php?page=1","https://www.phishtank.com/phish_archive.php?page=2","added on Dec 2nd 2025 4:53 AM","VALID PHISH","9281249","dms","https://nuauq.kinavo.cfd/r6noi
added on Dec 2nd 2025 4:53 AM","by dms","VALID PHISH"
"1764655512-30","https://www.phishtank.com/phish_archive.php","https://www.phishtank.com/phish_archive.php?page=1","https://www.phishtank.com/phish_archive.php?page=2","added on Dec 2nd 2025 4:53 AM","VALID PHISH","9281248","dms","https://fwilf.kinavo.cfd/ybj80
added on Dec 2nd 2025 4:53 AM","by dms","VALID PHISH"
"1764655512-31","https://www.phishtank.com/phish_archive.php","https://www.phishtank.com/phish_archive.php?page=1","https://www.phishtank.com/phish_archive.php?page=2","added on Dec 2nd 2025 4:53 AM","","9281247","dms","https://ib.kagin.co.jp.nestuine.com
added on Dec 2nd 2025 4:53 AM","by dms",""
"1764655512-32","https://www.phishtank.com/phish_archive.php","https://www.phishtank.com/phish_archive.php?page=1","https://www.phishtank.com/phish_archive.php?page=2","added on Dec 2nd 2025 4:52 AM","","9281246","dms","https://marifinancingresoahora.netlify.app
added on Dec 2nd 2025 4:52 AM","by dms",""
"1764655512-33","https://www.phishtank.com/phish_archive.php","https://www.phishtank.com/phish_archive.php?page=1","https://www.phishtank.com/phish_archive.php?page=2","added on Dec 2nd 2025 4:52 AM","","9281245","dms","https://accoun.bdrptc.com/
added on Dec 2nd 2025 4:52 AM","by dms",""
"1764655512-34","https://www.phishtank.com/phish_archive.php","https://www.phishtank.com/phish_archive.php?page=1","https://www.phishtank.com/phish_archive.php?page=2","added on Dec 2nd 2025 4:42 AM","","9281244","r3gersec","http://bit-update.pc63624.com
added on Dec 2nd 2025 4:42 AM","by r3gersec",""
"1764655512-35","https://www.phishtank.com/phish_archive.php","https://www.phishtank.com/phish_archive.php?page=1","https://www.phishtank.com/phish_archive.php?page=2","added on Dec 2nd 2025 4:38 AM","VALID PHISH","9281243","DDay","https://uxlink-migrate.pages.dev/
added on Dec 2nd 2025 4:38 AM","by DDay","VALID PHISH"
"1764655512-36","https://www.phishtank.com/phish_archive.php","https://www.phishtank.com/phish_archive.php?page=1","https://www.phishtank.com/phish_archive.php?page=2","added on Dec 2nd 2025 4:33 AM","ONLINE","9281242","r3gersec","https://www.jblsouthafrica.com/
added on Dec 2nd 2025 4:33 AM","by r3gersec",""
"1764655512-37","https://www.phishtank.com/phish_archive.php","https://www.phishtank.com/phish_archive.php?page=1","https://www.phishtank.com/phish_archive.php?page=2","added on Dec 2nd 2025 4:33 AM","ONLINE","9281241","r3gersec","http://www.jblsouthafrica.com
added on Dec 2nd 2025 4:33 AM","by r3gersec",""
"1764655512-38","https://www.phishtank.com/phish_archive.php","https://www.phishtank.com/phish_archive.php?page=1","https://www.phishtank.com/phish_archive.php?page=2","added on Dec 2nd 2025 4:32 AM","ONLINE","9281240","DDay","https://photonsol.in/drop
added on Dec 2nd 2025 4:32 AM","by DDay",""
"1764655512-39","https://www.phishtank.com/phish_archive.php","https://www.phishtank.com/phish_archive.php?page=1","https://www.phishtank.com/phish_archive.php?page=2","added on Dec 2nd 2025 4:12 AM","ONLINE","9281239","r3gersec","https://osnxs.com:443/
added on Dec 2nd 2025 4:12 AM","by r3gersec",""
"1764655512-40","https://www.phishtank.com/phish_archive.php","https://www.phishtank.com/phish_archive.php?page=1","https://www.phishtank.com/phish_archive.php?page=2","added on Dec 2nd 2025 4:12 AM","ONLINE","9281238","r3gersec","http://osnxs.com
added on Dec 2nd 2025 4:12 AM","by r3gersec",""
"1764655512-41","https://www.phishtank.com/phish_archive.php","https://www.phishtank.com/phish_archive.php?page=1","https://www.phishtank.com/phish_archive.php?page=2","added on Dec 2nd 2025 4:11 AM","","9281237","nbapphish","https://managementtec.xyz/ned/index.html
added on Dec 2nd 2025 4:11 AM","by nbapphish",""
"1764655512-42","https://www.phishtank.com/phish_archive.php","https://www.phishtank.com/phish_archive.php?page=1","https://www.phishtank.com/phish_archive.php?page=2","added on Dec 2nd 2025 4:07 AM","ONLINE","9281236","Enforcement","https://goodinsee.com/static/web/index.html
added on Dec 2nd 2025 4:07 AM","by Enforcement",""
"1764655512-43","https://www.phishtank.com/phish_archive.php","https://www.phishtank.com/phish_archive.php?page=1","https://www.phishtank.com/phish_archive.php?page=2","added on Dec 2nd 2025 3:59 AM","ONLINE","9281235","r3gersec","http://vertivhome.shop
added on Dec 2nd 2025 3:59 AM","by r3gersec",""
"1764655512-44","https://www.phishtank.com/phish_archive.php","https://www.phishtank.com/phish_archive.php?page=1","https://www.phishtank.com/phish_archive.php?page=2","","","< Newer","","","",""
"1764655515-45","https://www.phishtank.com/phish_archive.php","https://www.phishtank.com/phish_archive.php?page=1","https://www.phishtank.com/phish_archive.php?page=3","","","","","","",""
"1764655515-46","https://www.phishtank.com/phish_archive.php","https://www.phishtank.com/phish_archive.php?page=1","https://www.phishtank.com/phish_archive.php?page=3","added on Dec 2nd 2025 3:35 AM","VALID PHISH","9281234","dms","https://teravivo.cfd/indexco.jp
added on Dec 2nd 2025 3:35 AM","by dms","VALID PHISH"
"1764655515-47","https://www.phishtank.com/phish_archive.php","https://www.phishtank.com/phish_archive.php?page=1","https://www.phishtank.com/phish_archive.php?page=3","added on Dec 2nd 2025 3:35 AM","VALID PHISH","9281233","dms","https://cqfzcsm.cn/Login/
added on Dec 2nd 2025 3:35 AM","by dms","VALID PHISH"
"1764655515-48","https://www.phishtank.com/phish_archive.php","https://www.phishtank.com/phish_archive.php?page=1","https://www.phishtank.com/phish_archive.php?page=3","added on Dec 2nd 2025 3:35 AM","VALID PHISH","9281232","dms","https://cqgpdw.cn/Login/
added on Dec 2nd 2025 3:35 AM","by dms","VALID PHISH"
"1764655515-49","https://www.phishtank.com/phish_archive.php","https://www.phishtank.com/phish_archive.php?page=1","https://www.phishtank.com/phish_archive.php?page=3","added on Dec 2nd 2025 3:01 AM","ONLINE","9281231","squiddy","https://xzf.ru.com/fresh/index.html
added on Dec 2nd 2025 3:01 AM","by squiddy",""
"1764655515-50","https://www.phishtank.com/phish_archive.php","https://www.phishtank.com/phish_archive.php?page=1","https://www.phishtank.com/phish_archive.php?page=3","added on Dec 2nd 2025 3:00 AM","ONLINE","9281230","squiddy","https://www.google.com/url?q=https%3A%2F%2Fxzf.ru.com%2Ffresh%2Findex....
added on Dec 2nd 2025 3:00 AM","by squiddy",""
"1764655515-51","https://www.phishtank.com/phish_archive.php","https://www.phishtank.com/phish_archive.php?page=1","https://www.phishtank.com/phish_archive.php?page=3","added on Dec 2nd 2025 3:00 AM","VALID PHISH","9281229","squiddy","http://bashtanka.pp.net.ua/go?https://www.google.com/url?q=https%3A%2F...
added on Dec 2nd 2025 3:00 AM","by squiddy","VALID PHISH"
"1764655515-52","https://www.phishtank.com/phish_archive.php","https://www.phishtank.com/phish_archive.php?page=1","https://www.phishtank.com/phish_archive.php?page=3","added on Dec 2nd 2025 2:50 AM","ONLINE","9281228","r3gersec","https://www.jefferiies.com/
added on Dec 2nd 2025 2:50 AM","by r3gersec",""
"1764655515-53","https://www.phishtank.com/phish_archive.php","https://www.phishtank.com/phish_archive.php?page=1","https://www.phishtank.com/phish_archive.php?page=3","added on Dec 2nd 2025 2:50 AM","ONLINE","9281227","r3gersec","http://www.jefferiies.com
added on Dec 2nd 2025 2:50 AM","by r3gersec",""
"1764655515-54","https://www.phishtank.com/phish_archive.php","https://www.phishtank.com/phish_archive.php?page=1","https://www.phishtank.com/phish_archive.php?page=3","added on Dec 2nd 2025 2:27 AM","ONLINE","9281226","mrcruzs","https://playcity.org.mx/
added on Dec 2nd 2025 2:27 AM","by mrcruzs",""
"1764655515-55","https://www.phishtank.com/phish_archive.php","https://www.phishtank.com/phish_archive.php?page=1","https://www.phishtank.com/phish_archive.php?page=3","added on Dec 2nd 2025 2:17 AM","","9281225","legalintsights","http://flowservehq.com
added on Dec 2nd 2025 2:17 AM","by legalintsights",""
"1764655515-56","https://www.phishtank.com/phish_archive.php","https://www.phishtank.com/phish_archive.php?page=1","https://www.phishtank.com/phish_archive.php?page=3","added on Dec 2nd 2025 2:05 AM","","9281224","legalintsights","http://hbi.ventures
added on Dec 2nd 2025 2:05 AM","by legalintsights",""
"1764655515-57","https://www.phishtank.com/phish_archive.php","https://www.phishtank.com/phish_archive.php?page=1","https://www.phishtank.com/phish_archive.php?page=3","added on Dec 2nd 2025 1:24 AM","ONLINE","9281223","r3gersec","http://sknanb.info
added on Dec 2nd 2025 1:24 AM","by r3gersec",""
"1764655515-58","https://www.phishtank.com/phish_archive.php","https://www.phishtank.com/phish_archive.php?page=1","https://www.phishtank.com/phish_archive.php?page=3","added on Dec 2nd 2025 1:01 AM","VALID PHISH","9281222","Amarena98","http://allegrolokalnie.pl-ogloszenie-elektronika-834213.rest...
added on Dec 2nd 2025 1:01 AM","by Amarena98","VALID PHISH"
"1764655515-59","https://www.phishtank.com/phish_archive.php","https://www.phishtank.com/phish_archive.php?page=1","https://www.phishtank.com/phish_archive.php?page=3","added on Dec 2nd 2025 1:01 AM","ONLINE","9281221","Amarena98","http://allegro.pl-oferta-elektronika-67312.cfd...
added on Dec 2nd 2025 1:01 AM","by Amarena98",""
"1764655515-60","https://www.phishtank.com/phish_archive.php","https://www.phishtank.com/phish_archive.php?page=1","https://www.phishtank.com/phish_archive.php?page=3","added on Dec 2nd 2025 1:01 AM","VALID PHISH","9281220","Amarena98","http://allegro.pl-oferta9735732.icu
added on Dec 2nd 2025 1:01 AM","by Amarena98","VALID PHISH"
"1764655515-61","https://www.phishtank.com/phish_archive.php","https://www.phishtank.com/phish_archive.php?page=1","https://www.phishtank.com/phish_archive.php?page=3","added on Dec 2nd 2025 12:57 AM","VALID PHISH","9281219","Amarena98","http://allegro.23585142.click
added on Dec 2nd 2025 12:57 AM","by Amarena98","VALID PHISH"
"1764655515-62","https://www.phishtank.com/phish_archive.php","https://www.phishtank.com/phish_archive.php?page=1","https://www.phishtank.com/phish_archive.php?page=3","added on Dec 2nd 2025 12:57 AM","VALID PHISH","9281218","Amarena98","http://allegro.975115152.click
added on Dec 2nd 2025 12:57 AM","by Amarena98","VALID PHISH"
"1764655515-63","https://www.phishtank.com/phish_archive.php","https://www.phishtank.com/phish_archive.php?page=1","https://www.phishtank.com/phish_archive.php?page=3","added on Dec 2nd 2025 12:24 AM","","9281217","acogsecurity","https://us-west-2.protection.sophos.com/?d=edgepilot.com&u=aHR0cHM6Ly9...
added on Dec 2nd 2025 12:24 AM","by acogsecurity",""
"1764655515-64","https://www.phishtank.com/phish_archive.php","https://www.phishtank.com/phish_archive.php?page=1","https://www.phishtank.com/phish_archive.php?page=3","added on Dec 2nd 2025 12:19 AM","ONLINE","9281216","tuanphuong","https://rockxspin.com/
added on Dec 2nd 2025 12:19 AM","by tuanphuong",""
"1764655515-65","https://www.phishtank.com/phish_archive.php","https://www.phishtank.com/phish_archive.php?page=1","https://www.phishtank.com/phish_archive.php?page=3","added on Dec 2nd 2025 12:11 AM","VALID PHISH","9281215","Enforcement","https://ultimasemanadofeirao.vercel.app/atendimento?utm_source=organic...
added on Dec 2nd 2025 12:11 AM","by Enforcement","VALID PHISH"
"1764655515-66","https://www.phishtank.com/phish_archive.php","https://www.phishtank.com/phish_archive.php?page=1","https://www.phishtank.com/phish_archive.php?page=3","","","< Newer","","","",""
"1764655518-67","https://www.phishtank.com/phish_archive.php","https://www.phishtank.com/phish_archive.php?page=1","https://www.phishtank.com/phish_archive.php?page=4","","","","","","",""
"1764655518-68","https://www.phishtank.com/phish_archive.php","https://www.phishtank.com/phish_archive.php?page=1","https://www.phishtank.com/phish_archive.php?page=4","added on Dec 2nd 2025 12:03 AM","ONLINE","9281214","voldemor","https://interbenefit.web-formularios.click/
added on Dec 2nd 2025 12:03 AM","by voldemor",""
"1764655518-69","https://www.phishtank.com/phish_archive.php","https://www.phishtank.com/phish_archive.php?page=1","https://www.phishtank.com/phish_archive.php?page=4","added on Dec 1st 2025 11:57 PM","VALID PHISH","9281213","Amarena98","http://allegrolokalnie.8742351.click
added on Dec 1st 2025 11:57 PM","by Amarena98","VALID PHISH"
"1764655518-70","https://www.phishtank.com/phish_archive.php","https://www.phishtank.com/phish_archive.php?page=1","https://www.phishtank.com/phish_archive.php?page=4","added on Dec 1st 2025 11:48 PM","","9281212","topaz","https://atiac.net/wp-includes/load/?4764189
added on Dec 1st 2025 11:48 PM","by topaz",""
"1764655518-71","https://www.phishtank.com/phish_archive.php","https://www.phishtank.com/phish_archive.php?page=1","https://www.phishtank.com/phish_archive.php?page=4","added on Dec 1st 2025 11:44 PM","ONLINE","9281211","Amarena98","http://allegro.pl-oferta121211-macbook-pro-m4-14-cali-16gb.sbs...
added on Dec 1st 2025 11:44 PM","by Amarena98",""
"1764655518-72","https://www.phishtank.com/phish_archive.php","https://www.phishtank.com/phish_archive.php?page=1","https://www.phishtank.com/phish_archive.php?page=4","added on Dec 1st 2025 11:35 PM","VALID PHISH","9281210","Amarena98","http://allegrolokalnie.pl-oferta121211-macbook-pro-m4-14-cali-16gb.sbs...
added on Dec 1st 2025 11:35 PM","by Amarena98","VALID PHISH"
"1764655518-73","https://www.phishtank.com/phish_archive.php","https://www.phishtank.com/phish_archive.php?page=1","https://www.phishtank.com/phish_archive.php?page=4","added on Dec 1st 2025 11:30 PM","VALID PHISH","9281209","Amarena98","http://allegrolokalnie.78641.me
added on Dec 1st 2025 11:30 PM","by Amarena98","VALID PHISH"
"1764655518-74","https://www.phishtank.com/phish_archive.php","https://www.phishtank.com/phish_archive.php?page=1","https://www.phishtank.com/phish_archive.php?page=4","added on Dec 1st 2025 11:17 PM","","9281208","legalintsights","https://safetycore.de
added on Dec 1st 2025 11:17 PM","by legalintsights",""
"1764655518-75","https://www.phishtank.com/phish_archive.php","https://www.phishtank.com/phish_archive.php?page=1","https://www.phishtank.com/phish_archive.php?page=4","added on Dec 1st 2025 11:15 PM","ONLINE","9281207","voldemor","https://interbenefit.website-solicitudes.click/...
added on Dec 1st 2025 11:15 PM","by voldemor",""
"1764655518-76","https://www.phishtank.com/phish_archive.php","https://www.phishtank.com/phish_archive.php?page=1","https://www.phishtank.com/phish_archive.php?page=4","added on Dec 1st 2025 11:13 PM","VALID PHISH","9281206","Josua33","https://herault.redistribution-fr-mrelay.com/
added on Dec 1st 2025 11:13 PM","by Josua33","VALID PHISH"
"1764655518-77","https://www.phishtank.com/phish_archive.php","https://www.phishtank.com/phish_archive.php?page=1","https://www.phishtank.com/phish_archive.php?page=4","added on Dec 1st 2025 11:13 PM","VALID PHISH","9281205","Josua33","https://herault.redistribution-fr-mrelay.com/as.php...
added on Dec 1st 2025 11:13 PM","by Josua33","VALID PHISH"
"1764655518-78","https://www.phishtank.com/phish_archive.php","https://www.phishtank.com/phish_archive.php?page=1","https://www.phishtank.com/phish_archive.php?page=4","added on Dec 1st 2025 11:13 PM","VALID PHISH","9281204","Josua33","https://rivaton.redistribution-fr-mrelay.com/
added on Dec 1st 2025 11:13 PM","by Josua33","VALID PHISH"
"1764655518-79","https://www.phishtank.com/phish_archive.php","https://www.phishtank.com/phish_archive.php?page=1","https://www.phishtank.com/phish_archive.php?page=4","added on Dec 1st 2025 11:12 PM","VALID PHISH","9281203","Josua33","https://rivaton.redistribution-fr-mrelay.com/as.php...
added on Dec 1st 2025 11:12 PM","by Josua33","VALID PHISH"
"1764655518-80","https://www.phishtank.com/phish_archive.php","https://www.phishtank.com/phish_archive.php?page=1","https://www.phishtank.com/phish_archive.php?page=4","added on Dec 1st 2025 11:12 PM","VALID PHISH","9281202","Josua33","https://lemore.redistribution-fr-mrelay.com/
added on Dec 1st 2025 11:12 PM","by Josua33","VALID PHISH"
"1764655518-81","https://www.phishtank.com/phish_archive.php","https://www.phishtank.com/phish_archive.php?page=1","https://www.phishtank.com/phish_archive.php?page=4","added on Dec 1st 2025 11:12 PM","VALID PHISH","9281201","Josua33","https://lemore.redistribution-fr-mrelay.com/as.php...
added on Dec 1st 2025 11:12 PM","by Josua33","VALID PHISH"
"1764655518-82","https://www.phishtank.com/phish_archive.php","https://www.phishtank.com/phish_archive.php?page=1","https://www.phishtank.com/phish_archive.php?page=4","added on Dec 1st 2025 11:06 PM","","9281200","acogsecurity","https://us-west-2.protection.sophos.com/?d=edgepilot.com&u=aHR0cHM6Ly9...
added on Dec 1st 2025 11:06 PM","by acogsecurity",""
"1764655518-83","https://www.phishtank.com/phish_archive.php","https://www.phishtank.com/phish_archive.php?page=1","https://www.phishtank.com/phish_archive.php?page=4","added on Dec 1st 2025 10:59 PM","VALID PHISH","9281199","Josua33","https://cros.planning-pickup.com/
added on Dec 1st 2025 10:59 PM","by Josua33","VALID PHISH"
"1764655518-84","https://www.phishtank.com/phish_archive.php","https://www.phishtank.com/phish_archive.php?page=1","https://www.phishtank.com/phish_archive.php?page=4","added on Dec 1st 2025 10:59 PM","VALID PHISH","9281198","Josua33","https://cros.planning-pickup.com/as.php
added on Dec 1st 2025 10:59 PM","by Josua33","VALID PHISH"
"1764655518-85","https://www.phishtank.com/phish_archive.php","https://www.phishtank.com/phish_archive.php?page=1","https://www.phishtank.com/phish_archive.php?page=4","added on Dec 1st 2025 10:54 PM","VALID PHISH","9281197","Amarena98","http://allegro.pl-oferta5020133.icu
added on Dec 1st 2025 10:54 PM","by Amarena98","VALID PHISH"
"1764655518-86","https://www.phishtank.com/phish_archive.php","https://www.phishtank.com/phish_archive.php?page=1","https://www.phishtank.com/phish_archive.php?page=4","added on Dec 1st 2025 10:54 PM","VALID PHISH","9281196","Amarena98","http://allegrolokalnie.pl-oferta5020133.icu
added on Dec 1st 2025 10:54 PM","by Amarena98","VALID PHISH"
"1764655518-87","https://www.phishtank.com/phish_archive.php","https://www.phishtank.com/phish_archive.php?page=1","https://www.phishtank.com/phish_archive.php?page=4","added on Dec 1st 2025 10:52 PM","VALID PHISH","9281195","Josua33","https://700439.livreur-aide-contact.com/
added on Dec 1st 2025 10:52 PM","by Josua33","VALID PHISH"
"1764655518-88","https://www.phishtank.com/phish_archive.php","https://www.phishtank.com/phish_archive.php?page=1","https://www.phishtank.com/phish_archive.php?page=4","","","< Newer","","","",""
"1764655521-89","https://www.phishtank.com/phish_archive.php","https://www.phishtank.com/phish_archive.php?page=1","https://www.phishtank.com/phish_archive.php?page=5","","","","","","",""
"1764655521-90","https://www.phishtank.com/phish_archive.php","https://www.phishtank.com/phish_archive.php?page=1","https://www.phishtank.com/phish_archive.php?page=5","added on Dec 1st 2025 10:52 PM","VALID PHISH","9281194","Josua33","https://700439.livreur-aide-contact.com/as.php...
added on Dec 1st 2025 10:52 PM","by Josua33","VALID PHISH"
"1764655521-91","https://www.phishtank.com/phish_archive.php","https://www.phishtank.com/phish_archive.php?page=1","https://www.phishtank.com/phish_archive.php?page=5","added on Dec 1st 2025 10:52 PM","VALID PHISH","9281193","Josua33","https://411695.livreur-aide-contact.com/
added on Dec 1st 2025 10:52 PM","by Josua33","VALID PHISH"
"1764655521-92","https://www.phishtank.com/phish_archive.php","https://www.phishtank.com/phish_archive.php?page=1","https://www.phishtank.com/phish_archive.php?page=5","added on Dec 1st 2025 10:52 PM","VALID PHISH","9281192","Josua33","https://411695.livreur-aide-contact.com/as.php...
added on Dec 1st 2025 10:52 PM","by Josua33","VALID PHISH"
"1764655521-93","https://www.phishtank.com/phish_archive.php","https://www.phishtank.com/phish_archive.php?page=1","https://www.phishtank.com/phish_archive.php?page=5","added on Dec 1st 2025 10:51 PM","VALID PHISH","9281191","Josua33","https://925777.livreur-aide-contact.com/
added on Dec 1st 2025 10:51 PM","by Josua33","VALID PHISH"
"1764655521-94","https://www.phishtank.com/phish_archive.php","https://www.phishtank.com/phish_archive.php?page=1","https://www.phishtank.com/phish_archive.php?page=5","added on Dec 1st 2025 10:51 PM","VALID PHISH","9281190","Josua33","https://925777.livreur-aide-contact.com/as.php...
added on Dec 1st 2025 10:51 PM","by Josua33","VALID PHISH"
